year,indicator,unit,value
2001,Fixed broadband subscriptions,count,4000.0
2002,Fixed broadband subscriptions,count,19302.0
2003,Fixed broadband subscriptions,count,110402.0
2004,Fixed broadband subscriptions,count,252500.0
2005,Fixed broadband subscriptions,count,483100.0
2006,Fixed broadband subscriptions,count,751000.0
2007,Fixed broadband subscriptions,count,1035200.0
2008,Fixed broadband subscriptions,count,1329300.0
2009,Fixed broadband subscriptions,count,1553600.0
2010,Fixed broadband subscriptions,count,2097800.0
2011,Fixed broadband subscriptions,count,2506700.0
2012,Fixed broadband subscriptions,count,2920900.0
2013,Fixed broadband subscriptions,count,2938800.0
2014,Fixed broadband subscriptions,count,3061000.0
2015,Fixed broadband subscriptions,count,3063800.0
2016,Fixed broadband subscriptions,count,2718800.0
2017,Fixed broadband subscriptions,count,2687800.0
2018,Fixed broadband subscriptions,count,2696000.0
2019,Fixed broadband subscriptions,count,2964500.0
2020,Fixed broadband subscriptions,count,3358800.0
2021,Fixed broadband subscriptions,count,3734100.0
2022,Fixed broadband subscriptions,count,4224300.0
2023,Fixed broadband subscriptions,count,4576500.0
2024,Fixed broadband subscriptions,count,4816800.0
2001,Fixed broadband subscriptions per 100,per100,0.0170020765486193
2002,Fixed broadband subscriptions per 100,per100,0.0800830553639777
2003,Fixed broadband subscriptions per 100,per100,0.447341087591283
2004,Fixed broadband subscriptions per 100,per100,0.999731873891089
2005,Fixed broadband subscriptions per 100,per100,1.86986635854964
2006,Fixed broadband subscriptions per 100,per100,2.84276851737206
2007,Fixed broadband subscriptions per 100,per100,3.83430285414437
2008,Fixed broadband subscriptions per 100,per100,4.82153483966066
2009,Fixed broadband subscriptions per 100,per100,5.52395471352698
2010,Fixed broadband subscriptions per 100,per100,7.32068815724969
2011,Fixed broadband subscriptions per 100,per100,8.59576382844835
2012,Fixed broadband subscriptions per 100,per100,9.84700347717991
2013,Fixed broadband subscriptions per 100,per100,9.73942530166021
2014,Fixed broadband subscriptions per 100,per100,9.97193881432051
